,Device Name,Markets,link
75,,Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/31f0f589-0cc7-45cc-8dc1-a48b71b3d0b3
76,,Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/4eb11c8b-d734-471e-be7c-f772d3be043a
77,,Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/27f04400-9eb3-425c-bb1e-8ed1fc081aba
78,,Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/368bbf00-8c15-44c3-a1c5-b6e329aacfb0
79,,Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/4103e5f6-368a-4ade-b134-dd63c350a5b3
80,VACUSERA,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/b4ae787c-5df2-40c9-94a8-4fc610772966
81,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0cbcdc24-14b9-4d45-b24e-6de53d7075da
82,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/2ba0b352-9439-46db-94ac-d4089899b8d4
83,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/6aaaafb5-26ff-4cdb-9bcc-55c70e51dcee
84,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/53d6fe8b-c5c1-4cab-983f-1eea9d125b8a
85,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/a5ea2d57-9db8-4529-8b12-5b9fe24aaa5c
86,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/784385ca-1418-40d3-9acb-e449860a282f
87,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/94c73b25-98d0-4112-92b0-fa0e854675e3
88,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/2aa5f3a9-2b11-4fe9-9846-1b6caad7f42b
89,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/27c1adf5-5286-4b8e-9432-29e99afd5819
90,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/916bb4e7-d4b4-48bd-8b99-057be0414860
91,ADAMII™-CD3/CD4/CD8 Kit,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/f18c9f9e-8e98-4154-905d-7af46ecb8794
92,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/9b6188e9-ae35-4f3e-9f62-33e9b4e00e1a
93,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/cea156b2-26ff-4e37-bf0b-9035e8ee8a47
94,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/f395ba88-6e0b-4485-8401-e490ff21145a
95,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/8b45a9d7-ed81-4aa8-8cec-278ffe43e1a0
96,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/e17ded77-230c-4541-b675-d6879e0a4665
97,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/688b48e3-82bb-4cfc-a328-5f8182faf702
98,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ba0d7e7c-6618-4fbd-8ab8-beed4d1a5b63
99,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/26de304b-230e-4a64-acbd-4f6ac8dab22e
100,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d3682182-37af-45d4-95bc-a92dd3055c43
101,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/b919e6fd-28bf-42e0-9a50-4a5c170d511a
102,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/c92cd60d-2eaf-412d-88cb-9e04afd1fcb1
103,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/fc2dbf52-e9e8-4346-862e-1a929945300f
104,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/7f523f2e-71ea-4912-88d0-838d43213cc0
105,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/578708b6-ae64-4385-b41b-c12ac92cf932
106,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/1b5de220-c275-4de6-ae6a-2d41f800ac7d
107,ApexBio,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/3a00c6cf-5d77-4a8c-b6bf-56bad6c2aae5
108,ApexBio,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/707c7a3a-c2aa-4811-8f17-deef3e342825
109,ApexBio,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/a328943e-0e45-4264-9013-a0d0b4230c29
110,ApexBio,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4b9e260c-d028-42d0-b397-0248108a6746
111,Gluco-test Plus 50TST ARI DE,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/a0fcec75-36e0-4ef1-973d-a9058b50d887
112,Gluco-test Plus 25TST ARI DE,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/aa67aeaf-1269-4cf2-951a-b45cae4ccf1c
113,Gluco-test 2x25 TST ARI DE,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/65b54437-58e3-4f69-84eb-e79f23c6612d
114,Simplitude ByMe,Belgium. (From 2022-05-16 to 2025-05-26) | Czech Republic. (From 2022-05-16 to 2025-05-26) | Denmark. (From 2022-05-16 to 2025-05-26) | Estonia. (From 2022-05-16 to 2025-05-26) | Finland. (From 2022-05-16 to 2025-05-26) | Norway. (From 2022-05-16 to 2025-05-26) | Sweden. (From 2022-05-16 to 2025-05-26),https://ec.europa.eu/tools/eudamed/#/screen/search-device/e9e3ec36-8abe-49d3-bb2f-9cffe6c35b27
115,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/f838c614-baad-4f50-903c-00ac75f955e4
116,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0c81e864-8f34-4af0-85c9-53fd42a2518d
117,Gluco-T DUO 25 TST ARI DE,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/850fc6a9-4bf6-4be8-93b2-6a62838ff082
118,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/49e2963d-b9c3-4ce4-bbc8-ddc685499bf4
119,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/9070b7c2-b7a0-4920-ae77-3831f0c03ca3
120,,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/449cf92a-6e63-4de1-a853-a49dd6a15bd8
121,Simplitude ByMe,Belgium. (From 2022-05-16 to 2025-05-26) | France. (From 2022-05-16 to 2025-05-26) | Germany. (From 2022-05-16 to 2025-05-26) | Italy. (From 2022-05-16 to 2025-05-26) | Netherlands. (From 2022-05-16 to 2025-05-26) | Poland. (From 2022-05-16 to 2025-05-26) | United Kingdom (Northern Ireland only). (From 2022-05-16 to 2025-05-26),https://ec.europa.eu/tools/eudamed/#/screen/search-device/7a2c3fba-a540-416c-bb67-2026b7f04c89
122,Gluco-test Plus Starterset orange ARI DE,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4c4a99a8-2e7b-46e1-8540-c35285edb202
123,Neuanlage Gluco-test Plus Starterset orange ARI DE,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/431ee83a-c875-4b61-b174-5beac55e5410
124,IMMAGE UDR Kit (1-pack),Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/1235e010-6acc-4994-92b4-2fbcd8b7f042
125,MicroScan Neg Combo 96,Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/dfed957b-358a-4972-90f2-17b7897a983e
126,MicroScan Neg Combo 94,Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/5f2d2a97-7366-41b2-96fa-28e571d492b0
127,MicroScan Pos Combo Panel Type 31,Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/7c6dd95b-fa34-4c82-a8fa-9aeafeb13022
128,LabPro Connect v5.0 System (MR),Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/f317aa89-ffa5-4b3e-b3e6-4fa54d3d0acc
129,Access Sensitive Estradiol (Reagent Pack),Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/24e10ac4-d6c8-4825-a762-4777564c469a
130,Access Total T3 (reagent pack),Austria. (From None to None) | Belgium. (From None to None) | Bulgaria. (From None to None) | Croatia. (From None to None) | Cyprus. (From None to None) | Czech Republic. (From None to None) | Denmark. (From None to None) | Estonia. (From None to None) | Finland. (From None to None) | France. (From None to None) | Germany. (From None to None) | Greece. (From None to None) | Hungary. (From None to None) | Iceland. (From None to None) | Ireland. (From None to None) | Italy. (From None to None) | Latvia. (From None to None) | Liechtenstein. (From None to None) | Lithuania. (From None to None) | Luxembourg. (From None to None) | Malta. (From None to None) | Netherlands. (From None to None) | Norway. (From None to None) | Poland. (From None to None) | Portugal. (From None to None) | Romania. (From None to None) | Slovakia. (From None to None) | Slovenia. (From None to None) | Spain. (From None to None) | Sweden. (From None to None) | Turkey. (From None to None) | United Kingdom (Northern Ireland only). (From None to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/9e6d4e8e-c5b7-40aa-8555-9a6bd6021b97
